"","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","ocupacao.outra","nomeservico","tempodeservico","religiao","religiao.outra","contatoanterior","lidadiretamente","lida.onde","lida.outros","motivocurso","motivo.outros","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","autoavaliacao","part.outrocurso","pp001","pp002","pp003","pp004","pp005","pp006","pp007","pp008","pp009","pp010","pp011","pp012","pp013","pp014","pp015","pp016","pp017","pp018","pp019","pp020","pp021","pp022","pp023","pp024","pp025","pp026","pp027","pp028","pp029","pp030","pp031","pp032","pp033","pp034","pp035","pp036","pp037"
"1","Finalizadas","4 junho 2014  13:30","4 junho 2014  13:49","18 minutos 47 segundos","Sim","55","Masculino","Pós-graduação","Casado (a)","Casado","Graduação em Educação Física","Professor (a)","não","Professor","29","Católica","não","Sim","Sim","Família","não","Identificação pessoal com o tema","não","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Sim, considero","Não","3","1","5","5","5","5","2","1","2","4","4","5","3","3","4","4","4","1","4","4","4","4","3","1","2","2","4","2","4","4","5","4","2","2","2","2","5"
"2","Finalizadas","4 junho 2014  13:34","4 junho 2014  13:52","18 minutos 47 segundos","Sim","36","Feminino","Pós-graduação","Casado (a)",NA,"LETRAS- PORTUGUÊS / INGLÊS","Outros","AGENTE EDUCACIONAL II","AGENTE EDUCACIONAL II - ADMINISTRATIVO","8 ANOS","Sem religião",NA,"Não","Não",NA,NA,"Por ser uma oportunidade de formação continuada",NA,"Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim, considero","Sim","1","5","5","5","5","5","5","2","1","4","4","3","4","2","3","3","4","2","3","3","3","3","4","2","2","2","3","2","4","4","4","4","3","2","3","3","4"
"3","Finalizadas","4 junho 2014  13:34","4 junho 2014  14:15","40 minutos 10 segundos","Sim","49","Feminino","Pós-graduação","Casado (a)",NA,"Letras- Português/ Literatura","Professor (a)",NA,"professor I - SEEDUC Rio de Janeiro","31","Católica",NA,"Sim","Sim","Família","escola","Identificação profissional com o tema",NA,"Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Sim, considero","Sim","1","5","5","5","4","5","5","2","2","4","4","4","4","4","2","3","5","1","4","4","4","3","4","1","1","2","2","1","3","4","3","4","2","2","4","4","5"
"4","Finalizadas","4 junho 2014  13:35","4 junho 2014  14:10","35 minutos 3 segundos","Sim","38","Feminino","Pós-graduação","Casado (a)","Casada","Supervisora de Educação e professora","Professor (a)","Supervisora e Professora","Supervisora de Educação","14","Evangélica","Evangélica","Sim","Sim","Comunidade","comunidade","Identificação profissional com o tema","E pela formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim, considero","Sim","2","5","5","5","5","5","2","2","2","3","4","4","4","2","2","3","4","2","4","4","3","4","4","2","2","4","3","2","4","4","4","3","2","2","2","2","5"
"5","Finalizadas","4 junho 2014  13:42","5 junho 2014  21:57","1 dia 8 horas","Sim","30","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura em história","Professor (a)",NA,NA,"6 anos","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado","Flexível","Importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Sim","1","5","5","5","5","5","5","1","2","5","2","4","5","3","4","4","5","5","4","4","4","4","5","1","2","2","4","1","4",NA,"5","3","2","2","2","2","5"
"6","Em progresso","4 junho 2014  13:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Finalizadas","4 junho 2014  13:43","4 junho 2014  20:26","6 horas 42 minutos","Não","40","Feminino","Pós-graduação","Casado (a)","casada","Licenciatura em geografia   Pós graduação e m Geografia do Brasil","Professor (a)","Auxiliar de Secretaria Escolar","Prefeitura Municipal de Rio Novo","17","Católica","católica","Sim","Não","Escola","escola","Para aquisição de conhecimento na área","Conhecimento na area","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais","Não","2","4","4","4","3","4","4","2","2","4","4","5","4","3","3","4","4","5","5","4","5","3","5","1","3","2","3","1","5","3","3","3","2","2","2","2","4"
"8","Em progresso","4 junho 2014  13:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Finalizadas","4 junho 2014  13:46","4 junho 2014  13:56","9 minutos 44 segundos","Sim","33","Feminino","Pós-graduação","União Estável","respondida questão 8","serviço social","Outros","Gerente/ Assistente Social","CAPS/ SEAS","6","Espírita","respondida questão 16","Sim","Sim","Serviços de atuação","respondida questão 19","Para aquisição de conhecimento na área","respondida questão 21","Adequado","Flexível","Importante","Organizado","Sempre","Sim, considero","Não","3","5","5","5","4","5","5","1","5","5","3","5","5","5","1","5","5","3","5","5","5","5","5","1","4","5","5","1","5","5","5","5","1","1","1","1","5"
"10","Finalizadas","4 junho 2014  13:50","5 junho 2014  08:28","18 horas 37 minutos","Sim","55","Masculino","Pós-graduação","Casado (a)","casado","Educação Física","Professor (a)","não","Professor Educação Física","29","Católica","não","Não","Não","Família","não","Identificação pessoal com o tema","não","Muito adequado","Muito flexível","Muito importante","Muito organizado","Às vezes","Sim, considero","Não","3","4","5","5","4","5","4","2","3","4","4","3","4","2","4","3","5","2","4","3","4","4","4","4","2","2","4","2","4","4","4","4","4","2","3","2","4"
